gene,compare,medianP,meanlogFC,cvFC,DEGtype,Gene_Name,entrezgene_id,description,biotype
ENSG00000211973,D5/D6,1.08e-07,-10.726,60.45,down-regulate,IGHV1-69,,immunoglobulin heavy variable 1-69,IG gene
ENSG00000211640,D5/D6,7.38e-09,-9.703,78.96,down-regulate,IGLV6-57,,immunoglobulin lambda variable 6-57,IG gene
ENSG00000211933,D5/D6,5.65e-07,9.592,74.12,up-regulate,IGHV6-1,,immunoglobulin heavy variable 6-1,IG gene
ENSG00000211945,D5/D6,1.74e-08,-8.508,52.09,down-regulate,IGHV1-18,,immunoglobulin heavy variable 1-18,IG gene
ENSG00000211970,D5/D6,3.29e-07,-8.13,61.52,down-regulate,IGHV4-61,,immunoglobulin heavy variable 4-61,IG gene
ENSG00000211943,D5/D6,3.28e-08,-7.934,38.16,down-regulate,IGHV3-15,,immunoglobulin heavy variable 3-15,IG gene
ENSG00000213140,D5/D6,8.75e-07,-7.711,63.1,down-regulate,ELK2AP,,"ETS transcription factor ELK2A, pseudogene",Pseudogene
ENSG00000211666,D5/D6,6.68e-09,-7.536,58.32,down-regulate,IGLV2-14,,immunoglobulin lambda variable 2-14,IG gene
ENSG00000211959,D5/D6,8.48e-10,-7.497,30.3,down-regulate,IGHV4-39,,immunoglobulin heavy variable 4-39,IG gene
ENSG00000211637,D5/D6,2.11e-07,-6.897,39.78,down-regulate,IGLV4-69,,immunoglobulin lambda variable 4-69,IG gene
ENSG00000243290,D5/D6,6.86e-08,-6.794,47.93,down-regulate,IGKV1-12,,immunoglobulin kappa variable 1-12,IG gene
ENSG00000243238,D5/D6,2.68e-07,6.62,62.21,up-regulate,IGKV2-30,,immunoglobulin kappa variable 2-30,IG gene
ENSG00000224373,D5/D6,1.66e-10,-6.494,30.49,down-regulate,IGHV4-59,,immunoglobulin heavy variable 4-59,IG gene
ENSG00000253755,D5/D6,9.34e-08,-6.491,72.15,down-regulate,IGHGP,,immunoglobulin heavy constant gamma P (non-functional),Pseudogene
ENSG00000211895,D5/D6,1.81e-11,6.443,15.59,up-regulate,IGHA1,,immunoglobulin heavy constant alpha 1,IG gene
ENSG00000278857,D5/D6,5.27e-05,-6.392,32.24,down-regulate,IGKV1D-12,,immunoglobulin kappa variable 1D-12,IG gene
ENSG00000211669,D5/D6,1.95e-09,-6.278,22.59,down-regulate,IGLV3-10,,immunoglobulin lambda variable 3-10,IG gene
ENSG00000211655,D5/D6,1.53e-07,-6.096,21.76,down-regulate,IGLV1-36,,immunoglobulin lambda variable 1-36,IG gene
ENSG00000224650,D5/D6,2.69e-06,-5.86,38.1,down-regulate,IGHV3-74,,immunoglobulin heavy variable 3-74,IG gene
ENSG00000211663,D5/D6,1.29e-07,-5.744,24.68,down-regulate,IGLV3-19,,immunoglobulin lambda variable 3-19,IG gene
ENSG00000211934,D5/D6,1e-07,-5.736,28.7,down-regulate,IGHV1-2,,immunoglobulin heavy variable 1-2,IG gene
ENSG00000211670,D5/D6,3.04e-08,5.597,35.91,up-regulate,IGLV3-9,,immunoglobulin lambda variable 3-9 (gene/pseudogene),IG gene
ENSG00000239951,D5/D6,4.19e-09,-5.585,27.5,down-regulate,IGKV3-20,,immunoglobulin kappa variable 3-20,IG gene
ENSG00000225698,D5/D6,4.41e-07,5.466,35.48,up-regulate,IGHV3-72,,immunoglobulin heavy variable 3-72,IG gene
ENSG00000239975,D5/D6,9.41e-08,-5.465,23.01,down-regulate,IGKV1D-33,,immunoglobulin kappa variable 1D-33,IG gene
ENSG00000211660,D5/D6,1.48e-10,-5.353,59.42,down-regulate,IGLV2-23,,immunoglobulin lambda variable 2-23,IG gene
ENSG00000243466,D5/D6,3.64e-10,-5.233,15.15,down-regulate,IGKV1-5,,immunoglobulin kappa variable 1-5,IG gene
ENSG00000249790,D5/D6,1.09e-06,-5.193,37.96,down-regulate,AC092490.1,,novel transcript,lncRNA
ENSG00000211649,D5/D6,1.16e-06,-5.18,35.56,down-regulate,IGLV7-46,,immunoglobulin lambda variable 7-46 (gene/pseudogene),IG gene
